Security Control ID,Title,Description,Severity Rating,Current Region Availability,Remediation URL,Parameters,NbStandardsImplementedIn,ImplementedInStandards,Remediation URL to Crawl,Category,Resource type,AWS Config rule,Schedule type,Remediation
Account.1,Security contact information should be provided for an AWS account.,This control checks if an Amazon Web Services (AWS) account has security contact information. The control fails if security contact information is not provided for the account.,MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/Account.1/remediation,,3,"AWS Foundational Security Best Practices v1.0.0, CIS AWS Foundations Benchmark v3.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/account-controls.html#account-1,Identify > Resource Configuration,AWS::::Account,security-account-information-provided,Periodic,"To add an alternate contact as a security contact to your AWS account, see Update the alternate contacts for your AWS account in the AWS Account Management Reference Guide."
Account.2,AWS account should be part of an AWS Organizations organization,This control checks if an AWS account is part of an AWS Organizations organization. The control fails if the account is not part of an organization.,HIGH,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/Account.2/remediation,,1,NIST Special Publication 800-53 Revision 5,https://docs.aws.amazon.com/securityhub/latest/userguide/account-controls.html#account-2,Protect > Secure access management > Access control,AWS::::Account,account-part-of-organizations,Periodic,"To create a new organization and automatically add AWS accounts to it, see Creating an organization in the AWS Organizations User Guide. To add accounts to an existing organization, see Inviting an AWS account to join your organization in the AWS Organizations User Guide."
AppConfig.1,AWS AppConfig applications should be tagged,"This control checks whether an AWS AppConfig application has tags with the specific keys defined in the parameter requiredKeyTags. The control fails if the application doesn't have any tag keys or if it doesn't have all the keys specified in the parameter requiredKeyTags. If the parameter requiredKeyTags isn't provided, the control only checks for the existence of a tag key and fails if the application isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppConfig.1/remediation,"Parameter: requiredKeyTags
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/appconfig-controls.html#appconfig-1,Identify > Inventory > Tagging,AWS::AppConfig::Application,appconfig-application-tagged,Change triggered,"To add tags to an AWS AppConfig application, see TagResource in the AWS AppConfig API Reference."
AppConfig.2,AWS AppConfig configuration profiles should be tagged,"This control checks whether an AWS AppConfig configuration profile has tags with the specific keys defined in the parameter requiredKeyTags. The control fails if the configuration profile doesn't have any tag keys or if it doesn't have all the keys specified in the parameter requiredKeyTags. If the parameter requiredKeyTags isn't provided, the control only checks for the existence of a tag key and fails if the configuration profile isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppConfig.2/remediation,"Parameter: requiredKeyTags
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/appconfig-controls.html#appconfig-2,Identify > Inventory > Tagging,AWS::AppConfig::ConfigurationProfile,appconfig-configuration-profile-tagged,Change triggered,"To add tags to an AWS AppConfig configuration profile, see TagResource in the AWS AppConfig API Reference."
AppConfig.3,AWS AppConfig environments should be tagged,"This control checks whether an AWS AppConfig environment has tags with the specific keys defined in the parameter requiredKeyTags. The control fails if the environment doesn't have any tag keys or if it doesn't have all the keys specified in the parameter requiredKeyTags. If the parameter requiredKeyTags isn't provided, the control only checks for the existence of a tag key and fails if the environment isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppConfig.3/remediation,"Parameter: requiredKeyTags
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/appconfig-controls.html#appconfig-3,Identify > Inventory > Tagging,AWS::AppConfig::Environment,appconfig-environment-tagged,Change triggered,"To add tags to an AWS AppConfig environment, see TagResource in the AWS AppConfig API Reference."
AppConfig.4,AWS AppConfig extension associations should be tagged,"This control checks whether an AWS AppConfig extension association has tags with the specific keys defined in the parameter requiredKeyTags. The control fails if the extension association doesn't have any tag keys or if it doesn't have all the keys specified in the parameter requiredKeyTags. If the parameter requiredKeyTags isn't provided, the control only checks for the existence of a tag key and fails if the extension association isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppConfig.4/remediation,"Parameter: requiredKeyTags
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/appconfig-controls.html#appconfig-4,Identify > Inventory > Tagging,AWS::AppConfig::ExtensionAssociation,appconfig-extension-association-tagged,Change triggered,"To add tags to an AWS AppConfig extension association, see TagResource in the AWS AppConfig API Reference."
AppFlow.1,Amazon AppFlow flows should be tagged,"This control checks whether an Amazon AppFlow flow has tags with the specific keys defined in the parameter requiredKeyTags. The control fails if the flow doesn't have any tag keys or if it doesn't have all the keys specified in the parameter requiredKeyTags. If the parameter requiredKeyTags isn't provided, the control only checks for the existence of a tag key and fails if the flow isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppFlow.1/remediation,"Parameter: requiredKeyTags
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/appflow-controls.html#appflow-1,Identify > Inventory > Tagging,AWS::AppFlow::Flow,appflow-flow-tagged,Change triggered,"To add tags to an Amazon AppFlow flow, see Creating flows in Amazon AppFlow in the Amazon AppFlow User Guide."
AppRunner.1,App Runner services should be tagged,"This control checks whether an AWS App Runner service has tags with the specific keys defined in the parameter requiredKeyTags. The control fails if the App Runner service doesn't have any tag keys or if it doesn't have all the keys specified in the parameter requiredKeyTags. If the parameter requiredKeyTags isn't provided, the control only checks for the existence of a tag key and fails if the App Runner service isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,UNAVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppRunner.1/remediation,"Parameter: requiredKeyTags
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/apprunner-controls.html#apprunner-1,Identify > Inventory > Tagging,AWS::AppRunner::Service,apprunner-service-tagged,Change triggered,"To add tags to an App Runner service, see TagResource in the AWS App Runner API Reference."
AppRunner.2,App Runner VPC connectors should be tagged,"This control checks whether an AWS App Runner VPC connector has tags with the specific keys defined in the parameter requiredKeyTags. The control fails if the VPC connector doesn't have any tag keys or if it doesn't have all the keys specified in the parameter requiredKeyTags. If the parameter requiredKeyTags isn't provided, the control only checks for the existence of a tag key and fails if the VPC connector isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,UNAVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppRunner.2/remediation,"Parameter: requiredKeyTags
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/apprunner-controls.html#apprunner-2,Identify > Inventory > Tagging,AWS::AppRunner::VpcConnector,apprunner-service-tagged,Change triggered,"To add tags to an App Runner VPC connector, see TagResource in the AWS App Runner API Reference."
AppSync.1,AWS AppSync API caches should be encrypted at rest,This control checks whether an AWS AppSync API cache is encrypted at rest. The control fails if the API cache isn't encrypted at rest.,MEDIUM,UNAVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppSync.1/remediation,,1,AWS Foundational Security Best Practices v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/appsync-controls.html#appsync-1,Protect > Data Protection > Encryption of data-at-rest,AWS::AppSync::GraphQLApi,appsync-cache-ct-encryption-at-rest,Change triggered,"You can't change the encryption settings after enabling caching for your AWS AppSync API. Instead, you must delete the cache and and recreate it with encryption enabled. For more information, see Cache encryption in the AWS AppSync Developer Guide."
AppSync.2,AWS AppSync should have field-level logging enabled,"This control checks whether an AWS AppSync API has field-level logging turned on. The control fails if the field resolver log level is set to 'None'. Unless you provide custom parameter values to indicate that a specific log type should be enabled, Security Hub produces a passed finding if the field resolver log level is either 'ERROR' or 'ALL'.",MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppSync.2/remediation,"Parameter: fieldLoggingLevel
Description: Field logging level
Type: Enum
Default Value: N/A
Min: N/A
Max: N/A
---
",2,"AWS Foundational Security Best Practices v1.0.0, PCI DSS v4.0.1",https://docs.aws.amazon.com/securityhub/latest/userguide/appsync-controls.html#appsync-2,Identify > Logging,AWS::AppSync::GraphQLApi,appsync-logging-enabled,Change triggered,"To turn on logging for AWS AppSync, see Setup and configuration in the AWS AppSync Developer Guide."
AppSync.4,AWS AppSync GraphQL APIs should be tagged,"This control checks whether an AWS AppSync GraphQL API has tags with the specific keys defined in the parameter requiredTagKeys. The control fails if the GraphQL API doesn’t have any tag keys or if it doesn’t have all the keys specified in the parameter requiredTagKeys. If the parameter requiredTagKeys isn't provided, the control only checks for the existence of a tag key and fails if the  GraphQL API isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppSync.4/remediation,"Parameter: requiredTagKeys
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/appsync-controls.html#appsync-4,Identify > Inventory > Tagging,AWS::AppSync::GraphQLApi,tagged-appsync-graphqlapi (custom Security Hub rule),Change triggered,"To add tags to an AWS AppSync GraphQL API, see TagResource in the AWS AppSync API Reference."
AppSync.5,AWS AppSync GraphQL APIs should not be authenticated with API keys,This control checks whether your application uses an API key to interact with an AWS AppSync GraphQL API. The control fails if an AWS AppSync GraphQL API is authenticated with an API key.,HIGH,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppSync.5/remediation,,2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/appsync-controls.html#appsync-5,Protect > Secure access management > Passwordless authentication,AWS::AppSync::GraphQLApi,appsync-authorization-check,Change triggered,"To set an authorization option for your AWS AppSync GraphQL API, see Authorization and authentication in the AWS AppSync Developer Guide."
AppSync.6,AWS AppSync API caches should be encrypted in transit,This control checks whether an AWS AppSync API cache is encrypted in transit. The control fails if the API cache isn't encrypted in transit.,MEDIUM,UNAVAILABLE,https://docs.aws.amazon.com/console/securityhub/AppSync.6/remediation,,1,AWS Foundational Security Best Practices v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/appsync-controls.html#appsync-6,Protect > Data Protection > Encryption of data-in-transit,AWS::AppSync::ApiCache,appsync-cache-ct-encryption-in-transit,Change triggered,"You can't change the encryption settings after enabling caching for your AWS AppSync API. Instead, you must delete the cache and and recreate it with encryption enabled. For more information, see Cache encryption in the AWS AppSync Developer Guide."
Athena.2,Athena data catalogs should be tagged,"This control checks whether an Amazon Athena data catalog has tags with the specific keys defined in the parameter requiredTagKeys. The control fails if the data catalog doesn’t have any tag keys or if it doesn’t have all the keys specified in the parameter requiredTagKeys. If the parameter requiredTagKeys isn't provided, the control only checks for the existence of a tag key and fails if the data catalog isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/Athena.2/remediation,"Parameter: requiredTagKeys
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/athena-controls.html#athena-2,Identify > Inventory > Tagging,AWS::Athena::DataCatalog,tagged-athena-datacatalog (custom Security Hub rule),Change triggered,"To add tags to an Athena data catalog, see Tagging Athena resources in the Amazon Athena User Guide."
Athena.3,Athena workgroups should be tagged,"This control checks whether an Amazon Athena workgroup has tags with the specific keys defined in the parameter requiredTagKeys. The control fails if the workgroup doesn’t have any tag keys or if it doesn’t have all the keys specified in the parameter requiredTagKeys. If the parameter requiredTagKeys isn't provided, the control only checks for the existence of a tag key and fails if the workgroup isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/Athena.3/remediation,"Parameter: requiredTagKeys
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/athena-controls.html#athena-3,Identify > Inventory > Tagging,AWS::Athena::WorkGroup,tagged-athena-workgroup (custom Security Hub rule),Change triggered,"To add tags to an Athena workgroup, see Adding and deleting tags on an individual workgroup in the Amazon Athena User Guide."
Athena.4,Athena workgroups should have logging enabled,This control checks whether an Amazon Athena workgroup has logging enabled. The control fails if the workgroup doesn't have logging enabled.,MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/Athena.4/remediation,,1,AWS Foundational Security Best Practices v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/athena-controls.html#athena-4,Identify > Logging,AWS::Athena::WorkGroup,athena-workgroup-logging-enabled,Change triggered,"To enable or disable query metrics for an Athena workgroup, see Enable CloudWatch query metrics in Athena in the Amazon Athena User Guide."
AutoScaling.1,Auto scaling groups associated with a load balancer should use ELB health checks,This control checks whether an Amazon EC2 Auto Scaling group that is associated with a load balancer uses Elastic Load Balancing (ELB) health checks. The control fails if the Auto Scaling group doesn't use ELB health checks.,LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AutoScaling.1/remediation,,3,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5, PCI DSS v3.2.1",https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-1,Identify > Inventory,AWS::AutoScaling::AutoScalingGroup,autoscaling-group-elb-healthcheck-required,Change triggered,"To add Elastic Load Balancing health checks, see Add Elastic Load Balancing health checks in the Amazon EC2 Auto Scaling User Guide."
AutoScaling.2,Amazon EC2 Auto Scaling group should cover multiple Availability Zones,"This control checks whether an Amazon EC2 Auto Scaling group spans at least the specified number of Availability Zones (AZs). The control fails if an Auto Scaling group doesn't span at least the specified number of AZs. Unless you provide a custom parameter value for the minimum number of AZs, Security Hub uses a default value of two AZs.",MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AutoScaling.2/remediation,"Parameter: minAvailabilityZones
Description: Minimum number of Availability Zones
Type: Enum
Default Value: 2
Min: N/A
Max: N/A
---
",2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-2,Recover > Resilience > High availability,AWS::AutoScaling::AutoScalingGroup,autoscaling-multiple-az,Change triggered,"To add AZs to an existing Auto Scaling group, see Add and remove Availability Zones in the Amazon EC2 Auto Scaling User Guide."
AutoScaling.3,Auto Scaling group launch configurations should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),"This control checks whether IMDSv2 is enabled on all instances launched by Amazon EC2 Auto Scaling groups. The control fails if the Instance Metadata Service (IMDS) version isn't included in the launch configuration or is configured as token optional, which is a setting that allows either IMDSv1 or IMDSv2.",HIGH,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AutoScaling.3/remediation,,3,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5, PCI DSS v4.0.1",https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-3,Protect > Secure network configuration,AWS::AutoScaling::LaunchConfiguration,autoscaling-launchconfig-requires-imdsv2,Change triggered,"An Auto Scaling group is associated with one launch configuration at a time. You cannot modify a launch configuration after you create it. To change the launch configuration for an Auto Scaling group, use an existing launch configuration as the basis for a new launch configuration with IMDSv2 enabled. For more information, see Configure instance metadata options for new instances in the Amazon EC2 User Guide."
AutoScaling.6,Auto Scaling groups should use multiple instance types in multiple Availability Zones,This control checks whether an Amazon EC2 Auto Scaling group uses multiple instance types. This control fails if the Amazon EC2 Auto Scaling group has only one instance type defined.,MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AutoScaling.6/remediation,,2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-6,Recover > Resilience > High availability,AWS::AutoScaling::AutoScalingGroup,autoscaling-multiple-instance-types,Change triggered,"To create an Auto Scaling group with multiple instance types, see Auto Scaling groups with multiple instance types and purchase options in the Amazon EC2 Auto Scaling User Guide."
AutoScaling.9,EC2 Auto Scaling groups should use EC2 launch templates,This control checks whether an Amazon EC2 Auto Scaling group is created from an EC2 launch template. This control fails if an Amazon EC2 Auto Scaling group is not created with a launch template or if a launch template is not specified in a mixed instances policy.,MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/AutoScaling.9/remediation,,2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-9,Identify > Resource Configuration,AWS::AutoScaling::AutoScalingGroup,autoscaling-launch-template,Change triggered,"To create an Auto Scaling group with an EC2 launch template, see Create an Auto Scaling group using a launch template in the Amazon EC2 Auto Scaling User Guide. For information about how to replace a launch configuration with a launch template, see Replace a launch configuration with a launch template in the Amazon EC2 User Guide."
